,Latitude,Longitude,CategoryID,Precision code
822,36.8755945806,40.8976593415,3,2
827,37.4202265076,25.8990768471,1,3
828,33.513,36.291,3,4
832,40.761,29.5,1,4
833,30.8093425,47.562804,3,2
834,24,30,2,3
835,35,38.5,3,3
846,32.5,103,6,4
847,34,104,6,4
848,34.5,103,6,4
849,33,103.5,6,4
850,35,103,6,4
851,33.5,103,6,4
852,35,103.5,6,4
853,34.25,104,6,4
854,35,103,6,4
855,35,105,6,4
856,35.75,103.75,6,4
857,35,102,6,4
858,34,104,6,4
859,33.5,101.5,6,4
860,34,102,6,4
861,34.75,103,6,4
862,35.25,104,6,4
863,24.5,102,6,4
864,35,104,6,4
865,35.5,104,6,4
866,38,22.5,1,3
869,39,43.371944,4,3
870,41.011,29.25,3,4
872,41.9,12.5,1,4
873,37.94218342,27.34551256,3,2
874,35.8617,56.84,3,3
875,26,29,2,3
876,28.75,42.75,3,4
877,29,42,3,4
878,34.75,102,6,4
879,41.011,28.97,1,4
880,37.5,38.75,3,3
881,37.5,38.75,3,4
882,41.011,30,1,4
883,26.75,30.25,2,3
884,29.9758087083,31.1343486917,2,3
885,27.181346,31.1825335,2,2
886,26.25,28,2,3
900,35.0413672607,33.2756110602,3,3
902,41.011,28.97,1,4
903,36,103.25,6,4
904,34,44.5,3,3
905,41.9,12.5,1,4
906,35,19,7,5
907,37.5,37,3,3
908,36.5801979293,17.1153617347,1,4
909,32.75,35.75,3,3
910,35.25,103.25,6,4
911,42,12.45,1,4
912,32,56,3,3
913,42.25,12,1,4
914,42.25,12.25,1,4
915,42,12.25,1,4
916,36.5801979293,17.1153617347,1,4
917,36.5801979293,17.1153617347,1,4
918,41.9,12.5,1,4
919,48.5,-3.5,1,2
920,42.25,12,1,4
922,53.826,-2,1,3
923,36.5801979293,17.1153617347,1,4
924,35,101.5,6,4
925,42.5,-8.5,1,3
926,36.356272,43.145852,3,3
927,27.5,29.5,2,3
928,34.5,102.5,6,4
929,25.75,30,2,3
930,40,31,3,3
931,39.6310737661,31.5,3,3
932,39.6310737661,30.9895776103,3,3
933,42.5,-7.5,1,3
934,40.761,30,3,4
935,31.1982456667,29.9079146667,1,2
936,41.5,12.5,1,4
937,29.3,42.5,3,4
938,37.1625575,38.781432,3,3
939,32.5,44.5,3,3
940,34.5,19,7,5
941,25.75,29.75,2,3
942,29,42,3,4
943,29,43,3,4
944,35,19,7,5
945,38.304239,31.189704,3,2
946,39.5232397778,16.71231,1,3
947,36.882478,7.751272,1,2
948,31.25,34.75,3,3
949,35,101,6,4
950,35,103,6,4
953,16.166667,107.833333,6,3
954,44.6003,2.3972,1,2
955,40,76,5,4
956,41.00746276,28.96060984,1,2
957,41.00746276,28.96060984,1,2
958,37.9765256666,23.7255156587,1,2
959,37.5,22.5,1,3
960,29,42.5,3,4
961,37.3170265,-5.060833,1,3
962,35,101.5,6,4
963,34,24,7,4
964,37.6016219,-0.9845966,1,2
965,46.433,68.466,5,4
966,33.75,47,3,3
967,32.5162766,36.481845,3,2
968,29,42.25,3,4
969,31,36,3,3
970,35.8617,56.84,3,3
971,40,94.6,6,1
972,31.75,54,3,3
973,26,27,2,3
974,26,28,2,3
975,24,29,2,3
976,25,29,2,3
977,29.5164395,30.897603,2,2
978,25.73294,32.6088898,2,1
979,26.25,28.25,2,3
980,25.5,28,2,3
981,26,30,2,3
982,37.906033,22.879189,1,2
983,39.2620252,44.33103221,3,3
984,25,31,2,3
985,27,29,2,3
986,31.25,35,3,3
987,38.75,29.75,3,3
988,26,29,2,3
989,27.78,30.80,2,3
990,24,28,2,3
991,37.5,22.5,1,3
992,27.329167,68.138889,5,2
993,27.329167,68.138889,5,2
994,34,44,3,3
995,36.1069582726,43.2437443112,3,3
996,28.75,42,3,4
997,34.75,19.5,3,5
998,41.011,29.5,1,4
999,33,104,6,4
1000,29.5,42.25,3,4
1001,30.3383,42.4989,3,4
1002,30.3383,42.4989,3,4
1003,29,42,3,4
1004,34,23,1,4
1005,35.21,24.91,1,3
1006,35.21,24.91,1,3
1007,35.21,24.91,1,3
1008,35.21,24.91,1,3
1009,43.5392743667,16.4824028667,1,3
1010,29,43,3,4
1011,25.5,29.25,2,3
1013,37.9291298617,27.3594016674,3,1
1014,28.75,43,3,4
1015,37.5,22.5,1,3
1016,46,25,1,3
1018,26,30,2,3
1019,46.433,68.466,5,4
1020,34,116.5,6,4
1021,34,44,3,3
1022,46.433,68.466,5,4
1023,37.25,22.25,1,3
1024,16.25,33.75,2,3
1025,36.6764705882,40.1470588235,3,3
1026,31,34.75,3,3
1027,26,30,2,3
1028,34.5,43.5,3,3
1029,27.77,30.77,2,3
1030,27.76,30.8,2,3
1031,27.75,30.82,2,3
1032,27.8,30.82,2,3
1033,35,18.5,7,5
1034,34.95,33.2,3,3
1035,35.0413672607,33.2756110602,3,3
1036,34.95,33,3,3
1037,35.0413672607,33.5,3,3
1038,31.1982456667,29.9079146667,2,2
1039,36.75,38.7,3,3
1040,29,42,3,4
1042,39,30.9895776103,3,3
1049,45.5,22.5,1,3
1050,28.75,43,3,4
1051,42,12.5,1,4
1052,41.9,12.5,1,4
1053,41.9,12.5,1,4
1054,43.0786852,34.7425505,4,3
1056,34,44,3,3
1057,35,38,3,3
1060,30.3383,42.4989,3,4
1062,34.5,103.5,6,4
1063,31.411389,46.407222,3,2
1064,45.450688,68.831901,5,4
1065,35.381241,44.208201,3,2
1066,35.381241,44.208201,3,2
1067,32.5,44.5,3,3
1068,36.25,29.25,3,2
1069,37.5,37.5,3,3
1070,32.5,48.5,3,3
1071,25.6,29.8,2,3
1072,44.354154,40.411078,4,1
1073,32,44.5,3,3
1074,48.554856,29.264624,4,1
1075,38.8,34,3,3
1076,29,42.75,3,4
1077,29,42.75,3,4
1078,32,55,3,3
1079,41.9,12,1,4
1080,27.5,28.5,2,3
1081,33,36,3,3
1082,26.766667,31.566667,2,1
1083,53.595352,91.385873,5,1
1084,36.25,29.15,3,2
1085,32,56,3,3
1086,25.5,28.75,2,3
1087,26.25,28,2,3
1088,39,71,5,3
1090,40,40.5,4,3
1091,18.97,72.82,6,3
1095,37.5,32.5,3,3
1096,41.00746276,28.96060984,3,2
1097,29.849491,31.255061,2,2
1098,46,68.831901,5,3
1099,45.75,68.831901,5,3
1100,35.110609,25.806709,1,2
1101,40.761,30,1,4
1102,37.5,32.5,1,3
1103,26.25,29.5,2,3
1104,32.85,36,3,3
1105,36.5801979293,17.1153617347,1,4
1106,31.25,34.75,3,3
1107,29.0592303,70.12808435,6,3
1108,35.0413672607,33,3,3
1109,26.612692,37.922841,3,1
1110,34,23,7,4
1111,36.5801979293,17.1153617347,1,4
1112,36.192631,36.663794,3,2
1113,29.8717455,31.216001,2,2
1114,24,28,2,3
1115,26,30,2,3
1116,26.75,28.75,2,3
1117,25.5,29,2,3
1118,25,28,2,3
1119,29.3,42.5,3,4
1120,36.25,38.25,3,3
1121,25.0194525247,28.4726374225,2,3
1122,24,29,2,3
1123,39.130991,27.18383,3,1
1124,35.459069,43.259516,3,1
1125,35.460733,43.262676,3,1
1126,41.75,12.25,1,4
1127,31.400949,30.414682,2,2
1128,26,29.8,2,3
1129,35,19.25,7,5
1130,31.25,34.75,3,3
1131,27.181346,31.1825335,2,2
1132,29.25,30.75,2,3
1133,29.25,30.9,2,3
1134,26.25,29.25,2,3
1135,25.7390994,32.60156076,2,1
1136,36.35,29.15,3,2
1137,25,30,2,3
1138,26.75,29.25,2,3
1139,26.75,29,2,3
1141,32.427908,53.688046,3,3
1142,26,30,2,3
1143,39.283611,43.371944,4,3
1144,42.666,25.25,1,3
1145,31.5202095,34.451719,3,2
1146,36.1069582726,43.2437443112,3,3
1147,30.75,30.4,2,3
1148,34,23,7,4
1149,30.25,35.5,3,3
1150,40,34.5,3,2
1151,35,103,6,4
1152,33.5,22,3,4
1153,32.75,36,3,3
1154,28.75,43,3,4
1155,24,28,2,3
1156,25.5,30,2,3
1157,37.971421,23.726166,1,1
1158,27.5,28.5,2,3
1159,29.8717455,31.216001,2,2
1160,42.93333333,89.16666667,5,3
1161,37.5,22.5,1,3
1162,39.25,40.75,4,3
1163,35.49595,43.269,3,3
1164,39,33,3,3
1165,39,35,3,3
1166,42.25,13,1,4
1167,36.2132804,39.9982596,3,1
1168,25.5,29,2,3
1169,47,20,1,3
1170,27.5,30.5,2,1
1171,36.33,36.33,3,3
1172,26.25,28.75,2,3
1173,41.011,30,1,4
1174,40,13,1,4
1175,27.55,31.0,2,2
1176,24.103476,32.890414,2,2
1177,26,30,2,3
1178,42,12.75,1,4
1179,49,32,4,3
1180,37.5,23,1,3
1181,37.5,22.5,1,3
1182,42.5,-7.5,1,3
1183,31.25,34.75,3,3
1184,37.677026,30.518873,3,2
1185,41.914,12.512,1,1
1186,39.6310737661,30.9895776103,3,3
1187,50.5995,14.9816,1,3
1188,36.6465219,39.498189,3,2
1189,38.3403,43.0369,4,1
1190,35.4590452147,43.2599486915,3,1
1191,27,28,2,3
1192,45.3,34.4,4,3
1193,27.738333,30.704444,2,1
1194,42.5,87.331111,6,4
1195,40,-4,1,3
1196,50,11,1,4
1197,35.656325,40.744296,3,2
1198,31.435273,45.973967,3,3
1199,24,30,2,3
1200,40.01824972,34.62021474,3,2
1201,40.01824972,34.62021474,3,2
1202,37.5,37.75,3,3
1203,25.721538733,32.6085302358,2,1
1204,26,30,2,3
1205,25.5,30,2,3
1206,35.986842,38.111375,3,2
1207,27.5,30.704444,2,1
1208,26.25,28.25,2,3
1209,24.9795361111,32.8732936296,2,2
1210,46.5,15.5,1,3
1211,42,12.75,1,4
1212,53.7,91.6833,5,3
1213,41.011,28.97,1,4
1214,49.751944,6.626667,1,1
1215,33,42.5,3,3
1216,29,42.25,3,4
1217,32.5,44.5,3,3
1218,30.5723823112,31.5110853352,2,2
1219,37.5,22,1,3
1220,35.0413672607,33.2756110602,3,3
1221,35,19.25,7,5
1222,29.9758087083,31.1343486917,2,3
1223,35,19,7,5
1224,38.0519988333,23.8189911,1,3
1225,26.233137,50.520036,3,3
1227,35,17,7,5
1228,33.242223,35.652834,3,2
1229,41.011,28.97,1,4
1230,37.2958505,36.2537475,3,2
1231,41.75,12,1,4
1232,31.772695758,35.2355992035,3,1
1233,34.5,103.5,6,4
1234,29,42.25,3,4
1235,34,23,1,4
1236,41.011,28.97,1,4
1237,35,19,7,5
1238,26.75,30,2,3
1239,36.1069582726,43.2437443112,3,3
1240,23.9103,35.4737,2,2
1241,33,23,1,4
1244,21.5,86.5,7,4
1253,29.25,42.5,3,4
