,Latitude,Longitude,CategoryID,Predicted
75,60.0,105.0,5,1
76,60.0,105.0,5,0
77,60.0,105.0,5,0
78,60.0,105.0,5,0
79,60.0,-175.0,5,0
80,59.939971,30.314924,4,0
81,59.9,90.1,4,1
82,59.8,90.0,4,1
83,59.5,60.0,4,0
84,59.5,105.0,5,0
85,59.0,91.0,4,0
86,59.0,90.0,4,0
87,59.0,71.0,5,1
88,59.0,71.0,5,1
89,59.0,71.0,5,0
90,59.0,105.0,5,1
91,58.658301,81.916656,5,0
92,58.571712,61.714275,4,1
93,58.013798,83.22811,5,0
94,58.0,105.0,5,0
95,57.66831,53.709366,4,1
96,57.566667,75.65,5,0
97,57.504399,88.775423,5,0
98,57.333,68.5,5,0
99,57.183397,39.41576,4,0
100,57.069693,65.914388,5,0
101,57.0,33.5,4,0
102,56.467292,46.3227883,4,0
103,56.331944,44.25,4,0
104,56.331944,43.981389,4,0
105,56.331944,43.981389,4,0
106,56.223889,51.063333,4,0
107,56.2,15.016,1,0
108,56.2,15.016,1,0
109,56.2,15.016,1,0
110,56.0,3.0,1,0
111,56.0,10.5,1,0
112,56.0,10.0,1,0
113,55.783333,51.883333,4,1
114,55.641119,76.716107,5,0
115,55.6250794033,76.7453507354,5,0
116,55.55,47.1,4,1
117,55.5,49.27,4,1
118,55.5,49.27,4,0
119,55.5,49.27,4,1
120,55.4,86.7,5,1
121,55.363889,49.997778,4,0
122,55.333,51.0,4,0
123,55.083,37.85,4,0
124,55.026502,83.45,5,1
125,55.026502,82.921459,5,1
126,55.026502,82.921459,4,0
127,55.0,75.0,4,0
128,55.0,54.0,5,0
129,55.0,40.0,4,1
130,54.9912906687,-2.36079883305,1,0
131,54.933333,48.833333,4,0
132,54.75,93.5,5,1
133,54.720887,-3.49391,1,0
134,54.7037,73.652344,5,1
135,54.4894261595,48.3807917746,4,1
136,54.466667,56.266667,4,0
137,54.433333,35.433333,4,0
138,54.283333,68.25,5,1
139,54.0,-4.0,1,0
140,53.8942382582,90.7731233587,5,1
141,53.826,-2.422,1,0
142,53.826,-2.0,1,0
143,53.826,-1.75,1,0
144,53.826,-1.5,1,0
145,53.8,109.333333,6,1
146,53.7,91.6833,5,1
147,53.7,91.6833,5,0
148,53.595352,91.385873,5,0
149,53.5,90.0,5,0
150,53.45,50.45,4,0
151,53.4167,50.1333,4,1
152,53.333,90.0,5,0
153,53.32847,83.932946,5,1
154,53.2739768152,-7.42778298503,1,0
155,53.251944,94.974444,5,0
156,53.25,30.0241836,4,0
157,53.075537,54.806599,4,0
158,53.05,30.01,4,1
159,53.04148,30.0241836,4,1
160,53.04148,30.0241836,4,0
161,53.04148,30.0241836,4,0
162,53.04148,30.0241836,5,0
163,52.947222,141.083889,6,0
164,52.766667,82.616667,5,1
165,52.766667,82.616667,5,1
166,52.766667,82.616667,5,0
167,52.766667,82.616667,5,0
168,52.766667,82.41,5,0
169,52.716667,41.566667,4,1
170,52.5834706266,1.29100306221,1,0
171,52.5647734743,-0.293694419533,1,0
172,52.542447,-0.281473,1,0
173,52.520556,13.292222,7,0
174,52.5,-2.5,1,0
175,52.5,7.5,1,0
176,52.5,-2.5,1,0
177,52.5,-2.5,1,0
178,52.5,-2.5,1,0
179,52.5,-2.5,1,0
180,52.5,-2.5,1,0
181,52.492083,60.177956,5,0
182,52.48635565,60.1883269,5,0
183,52.4347767077,60.1433683942,4,1
